s,r,Reputation,Prediction,fdk_val,Response,value,trial,fdk_val_1b
sub-1144,1,Mean60,NA,1,4,2,9,1
sub-1144,1,Nice80,NA,1,3,2,10,2
sub-1144,1,Mean80,NA,0,3,2,11,1
sub-1144,1,Nice60,NA,0,2,2,12,2
sub-1144,1,Mean60,NA,0,2,2,13,2
sub-1144,1,Nice80,NA,1,3,2,14,2
sub-1144,1,Mean80,NA,0,3,2,15,1
sub-1144,1,Nice60,NA,1,4,2,16,1
sub-1144,1,Mean60,NA,0,2,2,17,1
sub-1144,1,Nice80,NA,1,4,2,18,2
sub-1144,1,Mean80,NA,1,4,2,19,1
sub-1144,1,Nice60,NA,0,3,2,20,2
sub-1144,1,Mean60,NA,1,3,2,21,1
sub-1144,1,Nice80,NA,1,3,2,22,2
sub-1144,1,Mean80,NA,0,2,2,23,2
sub-1144,1,Nice60,NA,1,4,2,24,1
sub-1144,1,Mean60,NA,1,3,2,25,2
sub-1144,1,Nice80,NA,0,2,2,26,2
sub-1144,1,Mean80,NA,0,3,2,27,1
sub-1144,1,Nice60,NA,1,4,2,28,2
sub-1144,1,Mean60,NA,0,1,2,29,2
sub-1144,1,Nice80,NA,1,3,2,30,1
sub-1144,1,Mean80,NA,0,2,2,31,1
sub-1144,1,Nice60,NA,0,2,2,32,2
sub-1144,2,Mean60,NA,1,4,4,33,1
sub-1144,2,Nice80,NA,1,3,2,34,2
sub-1144,2,Mean80,NA,1,3,1,35,1
sub-1144,2,Nice60,NA,1,4,4,36,1
sub-1144,2,Mean60,NA,0,2,4,37,2
sub-1144,2,Nice80,NA,1,3,2,38,2
sub-1144,2,Mean80,NA,0,2,1,39,2
sub-1144,2,Nice60,NA,0,1,4,40,2
sub-1144,2,Mean60,NA,1,4,4,41,1
sub-1144,2,Nice80,NA,0,2,2,42,2
sub-1144,2,Mean80,NA,0,2,1,43,1
sub-1144,2,Nice60,NA,0,1,4,44,1
sub-1144,2,Mean60,NA,0,2,4,45,2
sub-1144,2,Nice80,NA,1,3,2,46,1
sub-1144,2,Mean80,NA,0,2,1,47,1
sub-1144,2,Nice60,NA,1,3,4,48,1
sub-1144,2,Mean60,NA,0,2,4,49,1
sub-1144,2,Nice80,NA,1,3,2,50,2
sub-1144,2,Mean80,NA,0,2,1,51,1
sub-1144,2,Nice60,NA,0,2,4,52,2
sub-1144,2,Mean60,NA,1,3,4,53,1
sub-1144,2,Nice80,NA,1,3,2,54,2
sub-1144,2,Mean80,NA,0,1,1,55,1
sub-1144,2,Nice60,NA,0,3,4,56,1
sub-1144,2,Mean60,NA,1,3,4,57,2
sub-1144,2,Nice80,NA,1,4,2,58,2
sub-1144,2,Mean80,NA,0,1,1,59,1
sub-1144,2,Nice60,NA,0,2,4,60,1
sub-1144,2,Mean60,NA,0,1,4,61,2
sub-1144,2,Nice80,NA,0,3,2,62,2
sub-1144,2,Mean80,NA,1,4,1,63,1
sub-1144,2,Nice60,NA,1,4,4,64,1
sub-1144,3,Mean60,NA,0,2,4,65,1
sub-1144,3,Nice80,NA,1,3,1,66,1
sub-1144,3,Mean80,NA,0,2,3,67,2
sub-1144,3,Nice60,1,1,3,4,68,2
sub-1144,3,Mean60,1,0,1,4,69,1
sub-1144,3,Nice80,1,1,4,1,70,2
sub-1144,3,Mean80,0,0,2,3,71,1
sub-1144,3,Nice60,1,0,1,4,72,2
sub-1144,3,Mean60,1,0,1,4,73,1
sub-1144,3,Nice80,1,1,3,1,74,2
sub-1144,3,Mean80,1,0,2,3,75,1
sub-1144,3,Nice60,NA,0,4,4,76,1
sub-1144,3,Mean60,1,1,3,4,77,1
sub-1144,3,Nice80,NA,1,3,1,78,2
sub-1144,3,Mean80,1,0,1,3,79,1
sub-1144,3,Nice60,NA,1,4,4,80,1
sub-1144,3,Mean60,1,1,3,4,81,2
sub-1144,3,Nice80,1,0,2,1,82,2
sub-1144,3,Mean80,NA,1,3,3,83,1
sub-1144,3,Nice60,1,0,2,4,84,2
sub-1144,3,Mean60,1,0,1,4,85,2
sub-1144,3,Nice80,1,1,3,1,86,1
sub-1144,3,Mean80,1,0,2,3,87,2
sub-1144,3,Nice60,1,1,3,4,88,1
sub-1144,3,Mean60,0,1,3,4,89,1
sub-1144,3,Nice80,0,1,3,1,90,2
