roi_key,roi_name,mni_x,mni_y,mni_z,n_voxels,n_obs,n_subjects,b_run,b_SA,b_interaction,t_run,t_SA,t_interaction,p_run,p_SA,p_interaction,p_SA_perm,p_interaction_perm,method,rho_run1,rho_run2,rho_run3,rho_run4,q_interaction_fdr,q_SA_fdr
MT_V5_R,R MT/V5,50,-66,6,171,132,33,0.021093941194270542,0.0077016159338784106,0.00866594095850497,0.4827695029440266,0.6586629259877091,0.8286136706660668,0.6300840504877734,0.5112953083437282,0.40886547466464784,0.5233476652334766,0.3912608739126087,ols,0.06493506493506493,0.03549783549783549,0.07359307359307359,0.08917748917748917,0.7404451862506056,0.8325985583259855
FG_L,L fusiform gyrus,-42,-62,-16,171,132,33,-0.03902959711281034,-0.010476017560383369,0.020063881519335157,-0.6328601250635331,-0.6347594095337076,1.3591985132768027,0.5279539853007534,0.5267183032949012,0.17647362205150485,0.5676432356764324,0.0984901509849015,ols,0.17575757575757575,-0.028571428571428567,0.2103896103896104,0.10129870129870129,0.6894310568943105,0.8378162183781622
FG_R,R fusiform gyrus,43,-57,-19,171,132,33,0.04228676857130606,0.017500988912386328,0.005025731374058605,1.0892390354710395,1.684536993972466,0.5408442807584974,0.2780949632797728,0.09451478781788451,0.5895548798335126,0.10168983101689831,0.5417458254174583,ols,-0.016450216450216444,-0.0683982683982684,0.0787878787878788,0.04761904761904761,0.7404451862506056,0.5131361863813618
pSTS_L,L pSTS,-56,-39,2,171,132,33,-0.06835199023482313,0.014422121093347052,0.00929819596709089,-1.2316079845154027,0.9710682040742006,0.6999617333904824,0.22035346858604526,0.3333457420297886,0.48522142102802424,0.31126887311268875,0.48695130486951305,ols,0.30735930735930733,0.06666666666666665,0.1497835497835498,0.14112554112554113,0.7404451862506056,0.6408476799378886
pSTS_R,R pSTS,54,-39,0,171,132,33,-0.010468038917780705,0.0021845546604696425,0.013694879278619261,-0.19744667221862502,0.15397374430683128,1.0791876580715063,0.84379121043274,0.8778729363002493,0.2825334714817091,0.8724127587241276,0.2987701229877012,ols,0.2225108225108225,0.1497835497835498,0.2329004329004329,0.13766233766233768,0.7404451862506056,0.8813118688131187
SMA_L,L SMA,-41,6,45,171,132,33,-0.02794143182986962,0.005008330594946522,0.008302066075805891,-0.7161516415740095,0.47967666113351054,0.8889898281698226,0.47520224135346667,0.6322759282373449,0.375676184312255,0.6685331466853315,0.38806119388061194,ols,0.25541125541125537,0.0008658008658008796,0.2606060606060606,0.0649350649350649,0.7404451862506056,0.8610388961103891
AI_L,L anterior insula,-34,19,0,171,132,33,-0.06691490243211577,0.00207559809140541,0.02446735566423685,-1.5517512165211074,0.17986297536653748,2.3705032347682375,0.12319081574020799,0.8575445729142247,0.019256482800751307,0.827017298270173,0.04179582041795821,ols,0.3506493506493506,0.012987012987012998,0.2952380952380952,0.07532467532467531,0.3657134286571343,0.8813118688131187
SMG_R,R supramarginal gyrus,54,-30,38,171,132,33,-0.06817274075673295,0.004603772794660349,-0.006583773660741512,-1.4834589587163116,0.3743500787052541,-0.5985410555812246,0.1404106732694441,0.7087633140181465,0.5505366906258544,0.6888311168883112,0.541945805419458,ols,0.36969696969696975,0.030303030303030304,0.245021645021645,0.12207792207792208,0.7404451862506056,0.8610388961103891
Cereb_R,R cerebellum,28,-70,-30,171,132,33,0.038112716111962514,-0.0018534558834072848,-0.0004952242574514712,0.773283065625715,-0.14052387531040675,-0.04197829360799828,0.4407805885625832,0.8884669871692086,0.9665814126182439,0.8813118688131187,0.9602039796020398,ols,0.06147186147186147,0.030303030303030304,0.22597402597402597,0.10822510822510821,0.9884452731197468,0.8813118688131187
Cereb_L,L cerebellum,-21,-66,-35,171,132,33,0.06860152550895751,0.01518090982002969,0.011183132557032063,1.2133882450270999,1.0033745371685083,0.8263875287518675,0.2272157640478063,0.3175732319183906,0.41012205210881536,0.27577242275772423,0.36876312368763126,ols,0.18961038961038962,-0.1930735930735931,0.2658008658008658,0.17575757575757575,0.7404451862506056,0.6032521747825218
AI_R,R anterior insula,38,18,-3,171,132,33,-0.07079772999419946,0.01641818785839402,0.016038261634804922,-1.63737392550175,1.4189040325976416,1.5496731300351967,0.10400854221496043,0.15835743536377847,0.1236889914817902,0.17248275172482752,0.1254874512548745,ols,0.24329004329004328,0.03030303030303029,0.2536796536796536,-0.021645021645021655,0.7320101323201014,0.5488087554880875
SMG_L,L supramarginal gyrus,-41,-41,42,171,132,33,-0.019982393715780214,0.016780416191527762,-0.0058862845866948735,-0.4834792860054895,1.5171633877902775,-0.5950122232356577,0.6295814951974226,0.13169134383041295,0.5528857361576656,0.14288571142885712,0.5483451654834517,ols,0.2363636363636364,-0.09610389610389611,0.22943722943722944,0.03203463203463205,0.7404451862506056,0.5217978202179782
SMA_R,R SMA,48,6,35,171,132,33,-0.09791181680071104,0.029063234147841628,-0.004903144243849665,-1.825967159916651,2.0253545471979693,-0.38202061099044715,0.07018591421049729,0.044910360693391216,0.7030795771490193,0.011398860113988602,0.7023297670232976,ols,0.1844155844155844,0.10649350649350649,0.18961038961038962,-0.05281385281385281,0.8312233292799753,0.3989601039896011
IFG_L,L inferior frontal gyrus,-45,27,-3,171,132,33,0.040801052158453026,0.020657952398698397,0.008598293587844818,0.7599797605727849,1.4378619842614608,0.6691095148068157,0.44866419338670793,0.1529135466355198,0.5046306685816555,0.21737826217378262,0.30416958304169583,ols,0.1774891774891775,-0.04935064935064937,0.20346320346320346,0.17229437229437233,0.7404451862506056,0.6032521747825218
aMCC,Anterior MCC,1,25,30,171,132,33,-0.03513934493972491,0.01157481567245367,0.01387744791648627,-0.6190497644685683,0.7619829441479485,1.0213998254804546,0.5369837929178083,0.4474719426500454,0.30899162645316486,0.46835316468353166,0.2833716628337166,ols,0.18961038961038962,0.10995670995670995,0.20519480519480515,0.035497835497835487,0.7404451862506056,0.7805886078058861
